,hora,temperatura,Punto de rocio,Humedad,viento,nudos de viento,Rafaga,Presion,Precipitacion,Condicion,fecha
0,5:00 AM,59 °F,48 °F,67 %,VAR,3 mph,0 mph,21.56 in,0.0 in,Mostly Cloudy,2020-01-01
1,6:00 AM,57 °F,48 °F,72 %,CALM,0 mph,0 mph,21.58 in,0.0 in,Fair,2020-01-01
2,7:00 AM,59 °F,46 °F,63 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Fair,2020-01-01
3,8:00 AM,61 °F,48 °F,63 %,NE,3 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2020-01-01
4,9:00 AM,63 °F,48 °F,59 %,VAR,2 mph,0 mph,21.60 in,0.0 in,Fair,2020-01-01
5,10:00 AM,64 °F,48 °F,56 %,N,6 mph,0 mph,21.60 in,0.0 in,Fair,2020-01-01
6,11:00 AM,66 °F,48 °F,52 %,N,7 mph,0 mph,21.60 in,0.0 in,Fair,2020-01-01
7,12:00 PM,68 °F,48 °F,49 %,VAR,6 mph,0 mph,21.56 in,0.0 in,Thunder in the Vicinity,2020-01-01
8,1:00 PM,73 °F,46 °F,38 %,VAR,3 mph,0 mph,21.54 in,0.0 in,Showers in the Vicinity,2020-01-01
9,2:00 PM,75 °F,46 °F,36 %,VAR,6 mph,0 mph,21.50 in,0.0 in,Fair,2020-01-01
10,3:00 PM,77 °F,43 °F,29 %,ESE,8 mph,0 mph,21.46 in,0.0 in,Fair,2020-01-01
11,4:00 PM,77 °F,46 °F,34 %,VAR,5 mph,0 mph,21.46 in,0.0 in,Partly Cloudy,2020-01-01
12,5:00 PM,75 °F,43 °F,31 %,VAR,3 mph,0 mph,21.44 in,0.0 in,Thunder in the Vicinity,2020-01-01
13,6:00 PM,70 °F,45 °F,40 %,NE,8 mph,0 mph,21.48 in,0.0 in,Mostly Cloudy,2020-01-01
14,5:00 AM,55 °F,52 °F,88 %,CALM,0 mph,0 mph,21.58 in,0.0 in,Patches of Fog,2020-01-02
15,5:13 AM,55 °F,52 °F,88 %,CALM,0 mph,0 mph,21.58 in,0.0 in,Patches of Fog,2020-01-02
16,6:00 AM,55 °F,52 °F,88 %,E,3 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2020-01-02
17,7:00 AM,55 °F,52 °F,88 %,CALM,0 mph,0 mph,21.63 in,0.0 in,Partly Cloudy,2020-01-02
18,8:00 AM,57 °F,52 °F,82 %,CALM,0 mph,0 mph,21.65 in,0.0 in,Patches of Fog,2020-01-02
19,9:00 AM,61 °F,52 °F,72 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2020-01-02
20,10:00 AM,63 °F,48 °F,59 %,N,5 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2020-01-02
21,11:00 AM,66 °F,50 °F,56 %,VAR,3 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2020-01-02
22,12:00 PM,66 °F,50 °F,56 %,N,5 mph,0 mph,21.58 in,0.0 in,Showers in the Vicinity,2020-01-02
23,1:00 PM,66 °F,45 °F,46 %,NE,3 mph,0 mph,21.56 in,0.0 in,Showers in the Vicinity,2020-01-02
24,2:00 PM,70 °F,48 °F,46 %,NNW,5 mph,0 mph,21.54 in,0.0 in,Mostly Cloudy,2020-01-02
25,3:00 PM,70 °F,46 °F,43 %,VAR,6 mph,0 mph,21.52 in,0.0 in,Mostly Cloudy,2020-01-02
26,4:00 PM,70 °F,46 °F,43 %,VAR,2 mph,0 mph,21.52 in,0.0 in,Mostly Cloudy,2020-01-02
27,4:14 PM,68 °F,50 °F,52 %,NNW,8 mph,0 mph,21.52 in,0.0 in,Rain,2020-01-02
28,5:00 PM,64 °F,48 °F,56 %,NW,10 mph,0 mph,21.54 in,0.0 in,Mostly Cloudy,2020-01-02
29,6:00 PM,64 °F,48 °F,56 %,WNW,8 mph,0 mph,21.56 in,0.0 in,Mostly Cloudy,2020-01-02
30,5:00 AM,59 °F,50 °F,72 %,N,5 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2020-01-03
31,6:00 AM,57 °F,48 °F,72 %,SW,8 mph,0 mph,21.67 in,0.0 in,Showers in the Vicinity,2020-01-03
32,6:11 AM,57 °F,50 °F,77 %,WSW,5 mph,0 mph,21.67 in,0.0 in,Rain,2020-01-03
33,6:24 AM,54 °F,52 °F,94 %,NW,6 mph,0 mph,21.69 in,0.0 in,Heavy Rain,2020-01-03
34,7:00 AM,54 °F,52 °F,94 %,W,3 mph,0 mph,21.69 in,0.0 in,Drizzle,2020-01-03
35,8:00 AM,55 °F,54 °F,94 %,VAR,2 mph,0 mph,21.71 in,0.0 in,Light Drizzle,2020-01-03
36,9:00 AM,57 °F,54 °F,88 %,VAR,2 mph,0 mph,21.73 in,0.0 in,Light Drizzle,2020-01-03
37,10:00 AM,59 °F,52 °F,77 %,VAR,1 mph,0 mph,21.71 in,0.0 in,Mostly Cloudy,2020-01-03
38,11:00 AM,63 °F,50 °F,63 %,NNE,6 mph,0 mph,21.69 in,0.0 in,Showers in the Vicinity,2020-01-03
39,12:00 PM,64 °F,50 °F,59 %,NE,7 mph,0 mph,21.67 in,0.0 in,Showers in the Vicinity,2020-01-03
40,1:00 PM,70 °F,50 °F,49 %,VAR,5 mph,0 mph,21.63 in,0.0 in,Showers in the Vicinity,2020-01-03
41,2:00 PM,73 °F,50 °F,44 %,VAR,2 mph,0 mph,21.58 in,0.0 in,Partly Cloudy,2020-01-03
42,3:00 PM,73 °F,48 °F,41 %,VAR,5 mph,0 mph,21.56 in,0.0 in,Fair,2020-01-03
43,4:00 PM,75 °F,45 °F,34 %,VAR,3 mph,0 mph,21.54 in,0.0 in,Fair,2020-01-03
44,5:00 PM,73 °F,43 °F,33 %,WNW,3 mph,0 mph,21.52 in,0.0 in,Fair,2020-01-03
45,6:00 PM,72 °F,46 °F,41 %,WSW,9 mph,0 mph,21.54 in,0.0 in,Showers in the Vicinity,2020-01-03
46,5:00 AM,54 °F,52 °F,94 %,VAR,1 mph,0 mph,21.67 in,0.0 in,Patches of Fog,2020-01-04
47,6:00 AM,55 °F,54 °F,94 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-01-04
48,7:00 AM,57 °F,54 °F,88 %,NNE,5 mph,0 mph,21.69 in,0.0 in,Patches of Fog,2020-01-04
49,8:00 AM,61 °F,52 °F,72 %,ENE,6 mph,0 mph,21.71 in,0.0 in,Mostly Cloudy,2020-01-04
50,9:00 AM,63 °F,52 °F,68 %,VAR,2 mph,0 mph,21.69 in,0.0 in,Partly Cloudy,2020-01-04
51,10:00 AM,64 °F,50 °F,59 %,VAR,3 mph,0 mph,21.69 in,0.0 in,Partly Cloudy,2020-01-04
52,11:00 AM,68 °F,48 °F,49 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Fair,2020-01-04
53,12:00 PM,72 °F,50 °F,46 %,VAR,3 mph,0 mph,21.60 in,0.0 in,Fair,2020-01-04
54,1:00 PM,73 °F,45 °F,36 %,VAR,3 mph,0 mph,21.58 in,0.0 in,Fair,2020-01-04
55,2:00 PM,75 °F,46 °F,36 %,VAR,2 mph,0 mph,21.54 in,0.0 in,Fair,2020-01-04
56,3:00 PM,77 °F,46 °F,34 %,WNW,8 mph,0 mph,21.50 in,0.0 in,Fair,2020-01-04
57,3:10 PM,77 °F,48 °F,36 %,VAR,7 mph,0 mph,21.50 in,0.0 in,Thunder,2020-01-04
58,4:00 PM,64 °F,46 °F,52 %,S,23 mph,45 mph,21.52 in,0.0 in,T-Storm / Windy,2020-01-04
