fecha,IdProducto,mozo,cantidad,Hora
16/10/2021,2,tefa,3,
16/10/2021,52,tefa,2,
16/10/2021,48,tefa,10,
16/10/2021,8,tefa,2,
16/10/2021,29,tefa,15,
16/10/2021,35,tefa,3,
16/10/2021,55,tefa,3,
16/10/2021,25,tefa,1,
16/10/2021,44,tefa,5,
16/10/2021,36,tefa,1,
16/10/2021,1,tefa,5,
16/10/2021,41,tefa,1,
16/10/2021,30,tefa,1,
16/10/2021,17,tefa,2,
16/10/2021,51,tefa,3,
16/10/2021,35,zulma,2,
16/10/2021,29,zulma,21,
16/10/2021,25,zulma,1,
16/10/2021,48,zulma,4,
16/10/2021,10,zulma,1,
16/10/2021,44,zulma,3,
16/10/2021,17,zulma,4,
16/10/2021,23,zulma,1,
16/10/2021,1,zulma,4,
16/10/2021,8,zulma,1,
16/10/2021,38,zulma,1,
16/10/2021,7,zulma,2,
16/10/2021,52,zulma,3,
16/10/2021,51,zulma,3,
16/10/2021,17,alex,1,
16/10/2021,44,alex,2,
16/10/2021,55,alex,1,
16/10/2021,29,alex,9,
16/10/2021,1,alex,2,
16/10/2021,42,alex,2,
16/10/2021,30,alex,1,
16/10/2021,35,alex,2,
16/10/2021,59,alex,2,
16/10/2021,38,alex,1,
16/10/2021,7,alex,2,
16/10/2021,47,alex,2,
17/10/2021,29,tefa,9,
17/10/2021,43,tefa,1,
17/10/2021,35,tefa,3,
17/10/2021,9,tefa,5,
17/10/2021,25,tefa,1,
17/10/2021,8,tefa,1,
17/10/2021,47,tefa,4,
17/10/2021,3,tefa,3,
17/10/2021,44,tefa,5,
17/10/2021,42,tefa,2,
17/10/2021,1,tefa,1,
17/10/2021,48,tefa,2,
17/10/2021,2,tefa,1,
17/10/2021,58,tefa,1,
17/10/2021,31,tefa,1,
17/10/2021,11,tefa,1,
17/10/2021,29,mary,18,
17/10/2021,25,mary,2,
17/10/2021,47,mary,3,
17/10/2021,52,mary,4,
17/10/2021,31,mary,1,
17/10/2021,42,mary,3,
