fecha,IdProducto,mozo,cantidad
,1,alex,2
,2,alex,2
,7,alex,1
,9,alex,1
,11,alex,1
,26,alex,1
,30,alex,1
,33,alex,2
,44,alex,2
,48,alex,3
,50,alex,1
,51,alex,1
,52,alex,2
,1,carm,3
,2,carm,1
,7,carm,1
,11,carm,2
,26,carm,1
,32,carm,1
,33,carm,6
,35,carm,5
,38,carm,1
,44,carm,3
,47,carm,1
,48,carm,1
,51,carm,4
,52,carm,3
,56,carm,2
,1,cata ,5
,6,cata,1
,7,cata,7
,9,cata,2
,11,cata,4
,23,cata,1
,31,cata,4
,33,cata,10
,35,cata,1
,37,cata ,2
,38,cata ,1
,42,cata,1
,44,cata,4
,47,cata ,9
,48,cata,3
,51,cata ,2
,52,cata,1
,54,cata,2
,56,cata ,1
,57,cata,1
,58,cata ,1
,1,cris,3
,2,cris,2
,9,cris,1
,24,cris,4
,26,cris,1
,27,cris,1
,33,cris,8
,35,cris,1
,37,cris,1
,42,cris,4
,43,cris,1
,44,cris,3
,45,cris,1
,48,cris,1
,51,cris,7
,52,cris,2
,58,cris,1
,59,cris,2
,1,dany,9
,5,dany,1
,7,dany,3
,25,dany,1
,26,dany,1
,31,dany,3
,32,dany,1
,33,dany,1
,35,dany,3
,37,dany,1
,44,dany,3
,45,dany,1
,48,dany,4
,51,dany,3
,52,dany,1
,55,dany,2
,56,dany,2
,58,dany,1
,59,dany,1
,1,elida,4
,7,elida,1
,27,elida,1
,29,elida,8
,42,elida,6
,44,elida,1
,48,elida,5
,51,elida,6
,56,elida,2
,1,emerson,3
,11,emerson,1
,18,emerson,1
,31,emerson,4
,32,emerson,1
,33,emerson,2
,35,emerson,2
,42,emerson,2
,44,emerson,1
,46,emerson,2
,47,emerson,1
,51,emerson,11
,52,emerson,2
,55,emerson,1
,59,emerson,1
,110,emerson,1
,1,esthefany,3
,2,esthefany,1
,5,esthefany,1
,6,esthefany,1
,7,esthefany,2
,9,esthefany,2
,11,esthefany,4
,24,esthefany,1
,26,esthefany,2
,27,esthefany,1
,31,esthefany,5
,32,esthefany,1
,33,esthefany,14
,35,esthefany,4
,38,esthefany,1
,41,esthefany,1
,42,esthefany,1
,44,esthefany,3
,47,esthefany,1
,48,esthefany,8
,51,esthefany,2
,52,esthefany,4
,53,esthefany,2
,55,esthefany,1
,59,esthefany,2
,1,fabiola,4
,2,fabiola,1
,6,fabiola,1
,7,fabiola,1
,11,fabiola,1
,27,fabiola,1
,29,fabiola,6
,30,fabiola,1
,35,fabiola,1
,41,fabiola,1
,42,fabiola,2
,44,fabiola,2
,46,fabiola,1
,48,fabiola,4
,51,fabiola,2
,52,fabiola,2
,56,fabiola,1
,1,jhon,7
,2,jhon,4
,6,jhon,1
,7,jhon,2
,9,jhon,4
,11,jhon,2
,13,jhon,1
,18,jhon,2
,24,jhon,3
,27,jhon,2
,30,jhon,3
,31,jhon,6
,32,jhon,1
,33,jhon,15
,35,jhon,5
,39,jhon,1
,42,jhon,5
,44,jhon,7
,47,jhon,1
,48,jhon,5
,51,jhon,6
,52,jhon,3
,53,jhon,1
,55,jhon,1
,56,jhon,3
,59,jhon,2
,110,jhon,1
,1,luis,3
,7,luis,1
,9,luis,4
,11,luis,1
,29,luis,3
,34,luis,1
,35,luis,1
,42,luis,2
,44,luis,3
,48,luis,9
,51,luis,4
,52,luis,1
,55,luis,2
,56,luis,1
,110,luis,1
,1,marhin,4
,6,marhin,1
,11,marhin,1
,31,marhin,3
,32,marhin,2
,35,marhin,1
,37,marhin,1
,46,marhin,3
,48,marhin,2
,52,marhin,2
,59,marhin,1
,1,noemy,1
,2,noemy,2
,7,noemy,1
,11,noemy,2
,14,noemy,1
,32,noemy,1
,33,noemy,9
,35,noemy,1
,42,noemy,3
,44,noemy,2
,47,noemy,3
,48,noemy,7
,51,noemy,1
,52,noemy,1
,53,noemy,2
,55,noemy,2
,59,noemy,1
,5,sthefany,1
,7,sthefany,1
,11,sthefany,1
,27,sthefany,1
,31,sthefany,3
,37,sthefany,1
,46,sthefany,1
,48,sthefany,2
,53,sthefany,1
,1,susan,7
,2,susan,2
,6,susan,1
,7,susan,4
,9,susan,2
,24,susan,1
,26,susan,2
,27,susan,2
,29,susan,3
,30,susan,10
,32,susan,1
,33,susan,10
,35,susan,8
,37,susan,1
,38,susan,4
,41,susan,1
,42,susan,4
,44,susan,5
,47,susan,2
,48,susan,2
,51,susan,2
,52,susan,11
,54,susan,1
,56,susan,1
,57,susan,1
,58,susan,1
,1,tefa,2
,2,tefa,2
,7,tefa,2
,9,tefa,1
,11,tefa,2
,18,tefa,1
,24,tefa,3
,28,tefa,1
,30,tefa,1
,32,tefa,1
,33,tefa,4
,35,tefa,2
,38,tefa,3
,42,tefa,3
,44,tefa,1
,47,tefa,2
,48,tefa,1
,59,tefa,2
,1,zulma,7
,2,zulma,3
,5,zulma,2
,6,zulma,1
,7,zulma,1
,9,zulma,2
,11,zulma,1
,24,zulma,2
,26,zulma,4
,27,zulma,1
,30,zulma,1
,32,zulma,1
,33,zulma,9
,35,zulma,3
,36,zulma,1
,38,zulma,2
,41,zulma,1
,42,zulma,3
,44,zulma,5
,47,zulma,1
,48,zulma,1
,51,zulma,5
,52,zulma,1
,53,zulma,1
,56,zulma,1
,59,zulma,2
1/11/2020,1,agustina,7
1/11/2020,6,agustina,1
1/11/2020,11,agustina,1
1/11/2020,18,agustina,1
1/11/2020,22,agustina,2
1/11/2020,27,agustina,2
1/11/2020,29,agustina,6
1/11/2020,31,agustina,1
1/11/2020,39,agustina,1
1/11/2020,40,agustina,1
1/11/2020,44,agustina,3
1/11/2020,47,agustina,1
1/11/2020,48,agustina,6
1/11/2020,52,agustina,4
1/11/2020,29,aydee ,3
1/11/2020,44,aydee ,1
1/11/2020,1,esthefany,4
1/11/2020,2,esthefany,1
1/11/2020,11,esthefany,1
1/11/2020,24,esthefany,1
1/11/2020,29,esthefany,6
1/11/2020,39,esthefany,1
1/11/2020,40,esthefany,3
1/11/2020,42,esthefany,1
1/11/2020,44,esthefany,1
1/11/2020,45,esthefany,2
1/11/2020,46,esthefany,1
1/11/2020,47,esthefany,1
1/11/2020,48,esthefany,3
1/11/2020,59,esthefany,1
1/11/2020,1,zulma,4
1/11/2020,29,zulma,3
1/11/2020,35,zulma,1
1/11/2020,40,zulma,1
1/11/2020,51,zulma,8
1/11/2020,56,zulma,1
2/11/2020,1,alex,8
2/11/2020,7,alex,1
2/11/2020,22,alex,2
2/11/2020,29,alex,2
2/11/2020,36,alex,1
2/11/2020,40,alex,4
2/11/2020,42,alex,1
2/11/2020,46,alex,2
2/11/2020,47,alex,1
2/11/2020,48,alex,4
2/11/2020,50,alex,3
2/11/2020,51,alex,5
2/11/2020,52,alex,3
2/11/2020,1,esthefany,7
2/11/2020,2,esthefany,2
2/11/2020,7,esthefany,4
2/11/2020,27,esthefany,2
2/11/2020,29,esthefany,4
2/11/2020,30,esthefany,1
2/11/2020,33,esthefany,2
2/11/2020,40,esthefany,1
2/11/2020,44,esthefany,1
2/11/2020,47,esthefany,3
2/11/2020,50,esthefany,1
2/11/2020,51,esthefany,4
2/11/2020,52,esthefany,1
2/11/2020,54,esthefany,1
2/11/2020,57,esthefany,1
2/11/2020,1,mary,5
2/11/2020,2,mary,1
2/11/2020,7,mary,1
2/11/2020,11,mary,1
2/11/2020,18,mary,1
2/11/2020,22,mary,1
2/11/2020,27,mary,1
2/11/2020,29,mary,5
2/11/2020,40,mary,2
2/11/2020,44,mary,1
2/11/2020,47,mary,3
2/11/2020,48,mary,3
2/11/2020,50,mary,6
2/11/2020,51,mary,15
2/11/2020,52,mary,5
2/11/2020,56,mary,1
2/11/2020,11,stefan,1
2/11/2020,27,stefan,1
2/11/2020,29,stefan,2
2/11/2020,40,stefan,1
2/11/2020,44,stefan,1
2/11/2020,46,stefan,1
2/11/2020,48,stefan,2
2/11/2020,50,stefan,3
2/11/2020,51,stefan,2
2/11/2020,52,stefan,2
2/11/2020,1,zulma,5
2/11/2020,2,zulma,1
2/11/2020,7,zulma,3
2/11/2020,22,zulma,1
2/11/2020,27,zulma,1
2/11/2020,29,zulma,2
2/11/2020,31,zulma,1
2/11/2020,42,zulma,3
2/11/2020,46,zulma,1
2/11/2020,47,zulma,2
2/11/2020,48,zulma,1
2/11/2020,51,zulma,2
2/11/2020,56,zulma,1
3/11/2020,1,cielo,1
3/11/2020,2,cielo,1
3/11/2020,12,cielo,1
3/11/2020,13,cielo,1
3/11/2020,42,cielo,1
3/11/2020,44,cielo,1
3/11/2020,48,cielo,1
3/11/2020,52,cielo,3
3/11/2020,1,esthefany,5
3/11/2020,7,esthefany,1
3/11/2020,11,esthefany,1
3/11/2020,26,esthefany,1
3/11/2020,29,esthefany,3
3/11/2020,35,esthefany,1
3/11/2020,40,esthefany,1
3/11/2020,44,esthefany,5
3/11/2020,48,esthefany,4
3/11/2020,51,esthefany,4
3/11/2020,1,lia,1
3/11/2020,2,lia,1
3/11/2020,7,lia,1
3/11/2020,24,lia,3
3/11/2020,29,lia,4
3/11/2020,36,lia,2
3/11/2020,40,lia,1
3/11/2020,44,lia,1
3/11/2020,46,lia,1
3/11/2020,48,lia,4
3/11/2020,51,lia,6
3/11/2020,55,lia,1
3/11/2020,58,lia,1
3/11/2020,1,mary,3
3/11/2020,7,mary,1
3/11/2020,11,mary,1
3/11/2020,24,mary,1
3/11/2020,27,mary,2
3/11/2020,29,mary,6
3/11/2020,33,mary,1
3/11/2020,40,mary,1
3/11/2020,42,mary,3
3/11/2020,44,mary,3
3/11/2020,47,mary,2
3/11/2020,48,mary,3
3/11/2020,50,mary,1
3/11/2020,51,mary,3
3/11/2020,52,mary,1
3/11/2020,55,mary,1
3/11/2020,110,mary,1
3/11/2020,1,zulma,3
3/11/2020,7,zulma,1
3/11/2020,29,zulma,4
3/11/2020,42,zulma,2
3/11/2020,46,zulma,1
3/11/2020,47,zulma,1
3/11/2020,51,zulma,8
3/11/2020,52,zulma,2
3/11/2020,54,zulma,1
4/11/2020,1,alex,3
4/11/2020,6,alex,1
4/11/2020,7,alex,2
4/11/2020,22,alex,1
4/11/2020,24,alex,1
4/11/2020,26,alex,1
4/11/2020,29,alex,7
4/11/2020,42,alex,2
4/11/2020,46,alex,1
4/11/2020,47,alex,1
4/11/2020,51,alex,2
4/11/2020,52,alex,1
4/11/2020,1,esthefany,2
4/11/2020,7,esthefany,1
4/11/2020,11,esthefany,1
4/11/2020,22,esthefany,1
4/11/2020,24,esthefany,1
4/11/2020,29,esthefany,5
4/11/2020,31,esthefany,1
4/11/2020,42,esthefany,1
4/11/2020,44,esthefany,2
4/11/2020,50,esthefany,3
4/11/2020,51,esthefany,3
4/11/2020,52,esthefany,1
4/11/2020,53,esthefany,2
4/11/2020,56,esthefany,2
4/11/2020,1,lia,9
4/11/2020,6,lia,1
4/11/2020,7,lia,2
4/11/2020,11,lia,1
4/11/2020,22,lia,1
4/11/2020,29,lia,3
4/11/2020,35,lia,1
4/11/2020,42,lia,1
4/11/2020,44,lia,1
4/11/2020,46,lia,1
4/11/2020,47,lia,4
4/11/2020,48,lia,2
4/11/2020,50,lia,3
4/11/2020,51,lia,10
4/11/2020,52,lia,6
4/11/2020,59,lia,1
4/11/2020,110,lia,1
4/11/2020,1,mary,10
